state,region,municipality,year,crop,yield_t_ha
South Australia,Mid North,Clare and Gilbert Valleys,2016,faba_bean,2.359929703378788
South Australia,Mid North,Clare and Gilbert Valleys,2016,chickpea,1.9636131569148518
South Australia,Mid North,Clare and Gilbert Valleys,2016,lentil,2.190310905532671
South Australia,Mid North,Clare and Gilbert Valleys,2017,faba_bean,2.293220311500108
South Australia,Mid North,Clare and Gilbert Valleys,2017,chickpea,1.8358476650980422
South Australia,Mid North,Clare and Gilbert Valleys,2017,lentil,1.9323050213389437
South Australia,Mid North,Clare and Gilbert Valleys,2018,faba_bean,2.076652148458209
South Australia,Mid North,Clare and Gilbert Valleys,2018,chickpea,1.6797921223088448
South Australia,Mid North,Clare and Gilbert Valleys,2018,lentil,1.8121405931188652
South Australia,Mid North,Clare and Gilbert Valleys,2019,faba_bean,2.3903944226723297
South Australia,Mid North,Clare and Gilbert Valleys,2019,chickpea,1.5710965508893
South Australia,Mid North,Clare and Gilbert Valleys,2019,lentil,1.754211526116107
South Australia,Mid North,Clare and Gilbert Valleys,2020,faba_bean,2.268633483613331
South Australia,Mid North,Clare and Gilbert Valleys,2020,chickpea,1.5936811133000734
South Australia,Mid North,Clare and Gilbert Valleys,2020,lentil,1.9324989725705874
South Australia,Mid North,Clare and Gilbert Valleys,2021,faba_bean,2.3649735646538566
South Australia,Mid North,Clare and Gilbert Valleys,2021,chickpea,1.7568425838903707
South Australia,Mid North,Clare and Gilbert Valleys,2021,lentil,1.9105230461005378
South Australia,Mid North,Clare and Gilbert Valleys,2022,faba_bean,2.359733882232937
South Australia,Mid North,Clare and Gilbert Valleys,2022,chickpea,1.681308403628379
South Australia,Mid North,Clare and Gilbert Valleys,2022,lentil,2.150523819944911
South Australia,Mid North,Clare and Gilbert Valleys,2023,faba_bean,2.3264056543998493
South Australia,Mid North,Clare and Gilbert Valleys,2023,chickpea,1.6744904607712505
South Australia,Mid North,Clare and Gilbert Valleys,2023,lentil,1.897490921965314
South Australia,Mid North,Clare and Gilbert Valleys,2024,faba_bean,2.2654659039155502
South Australia,Mid North,Clare and Gilbert Valleys,2024,chickpea,1.4836195702158455
South Australia,Mid North,Clare and Gilbert Valleys,2024,lentil,1.6383559491669875
South Australia,Mid North,Clare and Gilbert Valleys,2025,faba_bean,2.1948254701475967
South Australia,Mid North,Clare and Gilbert Valleys,2025,chickpea,1.6187699064256524
South Australia,Mid North,Clare and Gilbert Valleys,2025,lentil,1.6816330247620788
South Australia,Mid North,Goyder,2016,faba_bean,2.2737949631926586
South Australia,Mid North,Goyder,2016,chickpea,1.7532600052297598
South Australia,Mid North,Goyder,2016,lentil,1.9327771584061644
South Australia,Mid North,Goyder,2017,faba_bean,2.369433625726761
South Australia,Mid North,Goyder,2017,chickpea,1.822324749248438
South Australia,Mid North,Goyder,2017,lentil,2.0797164367644063
South Australia,Mid North,Goyder,2018,faba_bean,2.0711835361066195
South Australia,Mid North,Goyder,2018,chickpea,1.5355037705235728
South Australia,Mid North,Goyder,2018,lentil,1.938193292462505
South Australia,Mid North,Goyder,2019,faba_bean,2.22903798082097
South Australia,Mid North,Goyder,2019,chickpea,1.5708055285045595
South Australia,Mid North,Goyder,2019,lentil,1.6868775554488582
South Australia,Mid North,Goyder,2020,faba_bean,2.0966674370065737
South Australia,Mid North,Goyder,2020,chickpea,1.4893179170975706
South Australia,Mid North,Goyder,2020,lentil,1.8860399651266446
South Australia,Mid North,Goyder,2021,faba_bean,2.156188323030234
South Australia,Mid North,Goyder,2021,chickpea,1.6971861469869256
South Australia,Mid North,Goyder,2021,lentil,1.8481633392824517
South Australia,Mid North,Goyder,2022,faba_bean,2.3321121481144105
South Australia,Mid North,Goyder,2022,chickpea,1.5610151673688553
South Australia,Mid North,Goyder,2022,lentil,1.914690609295651
South Australia,Mid North,Goyder,2023,faba_bean,2.288654824104736
South Australia,Mid North,Goyder,2023,chickpea,1.6278564200043526
South Australia,Mid North,Goyder,2023,lentil,1.9118957246267372
South Australia,Mid North,Goyder,2024,faba_bean,1.8902780942548685
South Australia,Mid North,Goyder,2024,chickpea,1.6545776209748184
South Australia,Mid North,Goyder,2024,lentil,1.8564210654606905
South Australia,Mid North,Goyder,2025,faba_bean,2.3882573932088653
South Australia,Mid North,Goyder,2025,chickpea,1.4194386054755708
South Australia,Mid North,Goyder,2025,lentil,1.6572803347940914
South Australia,Mid North,Light,2016,faba_bean,2.432979531386477
South Australia,Mid North,Light,2016,chickpea,1.9978057928398893
South Australia,Mid North,Light,2016,lentil,2.138727269914528
South Australia,Mid North,Light,2017,faba_bean,2.5468452254855016
South Australia,Mid North,Light,2017,chickpea,1.7058938555932017
South Australia,Mid North,Light,2017,lentil,1.9630143024109015
South Australia,Mid North,Light,2018,faba_bean,2.158420103219611
South Australia,Mid North,Light,2018,chickpea,1.8225583661241056
South Australia,Mid North,Light,2018,lentil,1.7606992608823586
South Australia,Mid North,Light,2019,faba_bean,2.284155266304949
South Australia,Mid North,Light,2019,chickpea,1.9141623730375674
South Australia,Mid North,Light,2019,lentil,1.9735254972111094
South Australia,Mid North,Light,2020,faba_bean,2.3511184647405794
South Australia,Mid North,Light,2020,chickpea,1.5885986651455406
South Australia,Mid North,Light,2020,lentil,1.9046012963802823
South Australia,Mid North,Light,2021,faba_bean,2.3304808357193476
South Australia,Mid North,Light,2021,chickpea,1.6615791475059711
South Australia,Mid North,Light,2021,lentil,1.7561057453459208
South Australia,Mid North,Light,2022,faba_bean,2.285654035878421
South Australia,Mid North,Light,2022,chickpea,1.7776762514556024
South Australia,Mid North,Light,2022,lentil,2.0608490423318946
South Australia,Mid North,Light,2023,faba_bean,2.42260439484397
South Australia,Mid North,Light,2023,chickpea,1.762638230638526
South Australia,Mid North,Light,2023,lentil,1.8551923474288368
South Australia,Mid North,Light,2024,faba_bean,2.122376997278821
South Australia,Mid North,Light,2024,chickpea,1.472862236069183
South Australia,Mid North,Light,2024,lentil,1.7482761852577964
South Australia,Mid North,Light,2025,faba_bean,2.2454916267380653
South Australia,Mid North,Light,2025,chickpea,1.5644724543258053
South Australia,Mid North,Light,2025,lentil,1.8423658336818747
South Australia,Mid North,Mallala,2016,faba_bean,2.394787260646043
South Australia,Mid North,Mallala,2016,chickpea,1.7585356404868904
South Australia,Mid North,Mallala,2016,lentil,1.9980204753737216
South Australia,Mid North,Mallala,2017,faba_bean,2.3050959648462346
South Australia,Mid North,Mallala,2017,chickpea,1.7152442311082943
South Australia,Mid North,Mallala,2017,lentil,2.0714401035922276
South Australia,Mid North,Mallala,2018,faba_bean,2.2990133465126386
South Australia,Mid North,Mallala,2018,chickpea,1.7532474512512672
South Australia,Mid North,Mallala,2018,lentil,1.9922830225369264
South Australia,Mid North,Mallala,2019,faba_bean,2.0549756589477566
South Australia,Mid North,Mallala,2019,chickpea,1.6911436640701911
South Australia,Mid North,Mallala,2019,lentil,1.9146050832831463
South Australia,Mid North,Mallala,2020,faba_bean,2.110610647464612
South Australia,Mid North,Mallala,2020,chickpea,1.502321780285071
South Australia,Mid North,Mallala,2020,lentil,1.8068419777989575
South Australia,Mid North,Mallala,2021,faba_bean,2.252499552529872
South Australia,Mid North,Mallala,2021,chickpea,1.7641467878203938
South Australia,Mid North,Mallala,2021,lentil,1.7801252518415625
South Australia,Mid North,Mallala,2022,faba_bean,2.207468750768987
South Australia,Mid North,Mallala,2022,chickpea,1.6023078917042899
South Australia,Mid North,Mallala,2022,lentil,1.8579227318247717
South Australia,Mid North,Mallala,2023,faba_bean,2.26566114981701
South Australia,Mid North,Mallala,2023,chickpea,1.7950939159999606
South Australia,Mid North,Mallala,2023,lentil,1.8652173482002699
South Australia,Mid North,Mallala,2024,faba_bean,2.0740182695612033
South Australia,Mid North,Mallala,2024,chickpea,1.2898675736860752
South Australia,Mid North,Mallala,2024,lentil,1.6358229164440132
South Australia,Mid North,Mallala,2025,faba_bean,2.38901891847086
South Australia,Mid North,Mallala,2025,chickpea,1.5946503335635336
South Australia,Mid North,Mallala,2025,lentil,1.8936414557641206
South Australia,Mid North,Peterborough,2016,faba_bean,2.4158656513302676
South Australia,Mid North,Peterborough,2016,chickpea,1.7375586556286697
South Australia,Mid North,Peterborough,2016,lentil,2.2073419468812228
South Australia,Mid North,Peterborough,2017,faba_bean,2.3986553928679686
South Australia,Mid North,Peterborough,2017,chickpea,1.8909433715311352
South Australia,Mid North,Peterborough,2017,lentil,2.043189234145146
South Australia,Mid North,Peterborough,2018,faba_bean,2.219988398856165
South Australia,Mid North,Peterborough,2018,chickpea,1.5748169235649567
South Australia,Mid North,Peterborough,2018,lentil,1.756968874847926
South Australia,Mid North,Peterborough,2019,faba_bean,2.1376219611193816
South Australia,Mid North,Peterborough,2019,chickpea,1.4380917407517313
South Australia,Mid North,Peterborough,2019,lentil,1.9008986195340545
South Australia,Mid North,Peterborough,2020,faba_bean,2.199733281626197
South Australia,Mid North,Peterborough,2020,chickpea,1.7004066674516374
South Australia,Mid North,Peterborough,2020,lentil,1.7000775147517264
South Australia,Mid North,Peterborough,2021,faba_bean,2.528256995509643
South Australia,Mid North,Peterborough,2021,chickpea,1.686910698407241
South Australia,Mid North,Peterborough,2021,lentil,1.8763394676920837
South Australia,Mid North,Peterborough,2022,faba_bean,2.332918210602696
South Australia,Mid North,Peterborough,2022,chickpea,1.6623242416394244
South Australia,Mid North,Peterborough,2022,lentil,1.9971627010866497
South Australia,Mid North,Peterborough,2023,faba_bean,2.3902899073863493
South Australia,Mid North,Peterborough,2023,chickpea,1.6348697870563256
South Australia,Mid North,Peterborough,2023,lentil,1.9708184855302007
South Australia,Mid North,Peterborough,2024,faba_bean,1.9035373897651635
South Australia,Mid North,Peterborough,2024,chickpea,1.4263080860538435
South Australia,Mid North,Peterborough,2024,lentil,1.663880209569538
South Australia,Mid North,Peterborough,2025,faba_bean,2.237766703540836
South Australia,Mid North,Peterborough,2025,chickpea,1.6789540405486358
South Australia,Mid North,Peterborough,2025,lentil,1.7639077314687703
South Australia,Yorke Peninsula,Barunga West,2016,faba_bean,2.270052597973909
South Australia,Yorke Peninsula,Barunga West,2016,chickpea,1.6534244269977552
South Australia,Yorke Peninsula,Barunga West,2016,lentil,1.674671518199384
South Australia,Yorke Peninsula,Barunga West,2017,faba_bean,2.057928770039697
South Australia,Yorke Peninsula,Barunga West,2017,chickpea,1.5622322673589761
South Australia,Yorke Peninsula,Barunga West,2017,lentil,1.5865982744936844
South Australia,Yorke Peninsula,Barunga West,2018,faba_bean,2.192183262559054
South Australia,Yorke Peninsula,Barunga West,2018,chickpea,1.5889733811299585
South Australia,Yorke Peninsula,Barunga West,2018,lentil,1.683722118622501
South Australia,Yorke Peninsula,Barunga West,2019,faba_bean,2.3316432979249395
South Australia,Yorke Peninsula,Barunga West,2019,chickpea,1.6541659478218964
South Australia,Yorke Peninsula,Barunga West,2019,lentil,1.7186718099007499
South Australia,Yorke Peninsula,Barunga West,2020,faba_bean,2.2233822459812456
South Australia,Yorke Peninsula,Barunga West,2020,chickpea,1.4151255860579763
South Australia,Yorke Peninsula,Barunga West,2020,lentil,1.9295429525081793
South Australia,Yorke Peninsula,Barunga West,2021,faba_bean,2.0887660375456707
South Australia,Yorke Peninsula,Barunga West,2021,chickpea,1.6103075505908568
South Australia,Yorke Peninsula,Barunga West,2021,lentil,1.6374645850874285
South Australia,Yorke Peninsula,Barunga West,2022,faba_bean,1.9933578502729277
South Australia,Yorke Peninsula,Barunga West,2022,chickpea,1.4561755703854917
South Australia,Yorke Peninsula,Barunga West,2022,lentil,1.8204640943146015
South Australia,Yorke Peninsula,Barunga West,2023,faba_bean,2.442502903092669
South Australia,Yorke Peninsula,Barunga West,2023,chickpea,2.0100532694615496
South Australia,Yorke Peninsula,Barunga West,2023,lentil,2.25329891047075
South Australia,Yorke Peninsula,Barunga West,2024,faba_bean,2.3158891625774567
South Australia,Yorke Peninsula,Barunga West,2024,chickpea,1.7474921069403098
South Australia,Yorke Peninsula,Barunga West,2024,lentil,1.9488582373615793
South Australia,Yorke Peninsula,Barunga West,2025,faba_bean,2.3003452129953077
South Australia,Yorke Peninsula,Barunga West,2025,chickpea,1.7794548063996487
South Australia,Yorke Peninsula,Barunga West,2025,lentil,1.6478359740245865
South Australia,Yorke Peninsula,Copper Coast,2016,faba_bean,2.0636840961004
South Australia,Yorke Peninsula,Copper Coast,2016,chickpea,1.467468112574169
South Australia,Yorke Peninsula,Copper Coast,2016,lentil,1.82732147303752
South Australia,Yorke Peninsula,Copper Coast,2017,faba_bean,2.11968222515136
South Australia,Yorke Peninsula,Copper Coast,2017,chickpea,1.4615276742015455
South Australia,Yorke Peninsula,Copper Coast,2017,lentil,1.804340746474313
South Australia,Yorke Peninsula,Copper Coast,2018,faba_bean,2.3716977168351843
South Australia,Yorke Peninsula,Copper Coast,2018,chickpea,1.77131621725444
South Australia,Yorke Peninsula,Copper Coast,2018,lentil,1.878419687819673
South Australia,Yorke Peninsula,Copper Coast,2019,faba_bean,2.3966524513686465
South Australia,Yorke Peninsula,Copper Coast,2019,chickpea,1.3684837309654014
South Australia,Yorke Peninsula,Copper Coast,2019,lentil,1.7664174750174344
South Australia,Yorke Peninsula,Copper Coast,2020,faba_bean,2.3009538966581493
South Australia,Yorke Peninsula,Copper Coast,2020,chickpea,1.728145078794676
South Australia,Yorke Peninsula,Copper Coast,2020,lentil,1.8032947271013464
South Australia,Yorke Peninsula,Copper Coast,2021,faba_bean,2.1461444916591494
South Australia,Yorke Peninsula,Copper Coast,2021,chickpea,1.7433815471092657
South Australia,Yorke Peninsula,Copper Coast,2021,lentil,1.7244767266093761
South Australia,Yorke Peninsula,Copper Coast,2022,faba_bean,2.2661058105546346
South Australia,Yorke Peninsula,Copper Coast,2022,chickpea,1.5291108208419897
South Australia,Yorke Peninsula,Copper Coast,2022,lentil,1.4486131785183702
South Australia,Yorke Peninsula,Copper Coast,2023,faba_bean,2.6661594111498683
South Australia,Yorke Peninsula,Copper Coast,2023,chickpea,2.039147003001409
South Australia,Yorke Peninsula,Copper Coast,2023,lentil,2.059779056915707
South Australia,Yorke Peninsula,Copper Coast,2024,faba_bean,2.329423436471203
South Australia,Yorke Peninsula,Copper Coast,2024,chickpea,1.6227076346776081
South Australia,Yorke Peninsula,Copper Coast,2024,lentil,1.7400237028602696
South Australia,Yorke Peninsula,Copper Coast,2025,faba_bean,2.377716266700335
South Australia,Yorke Peninsula,Copper Coast,2025,chickpea,1.4460729540301132
South Australia,Yorke Peninsula,Copper Coast,2025,lentil,1.986959211928319
South Australia,Yorke Peninsula,Wakefield,2016,faba_bean,2.256134253998437
South Australia,Yorke Peninsula,Wakefield,2016,chickpea,1.490722510962674
South Australia,Yorke Peninsula,Wakefield,2016,lentil,1.7437264963001575
South Australia,Yorke Peninsula,Wakefield,2017,faba_bean,2.146348539654982
South Australia,Yorke Peninsula,Wakefield,2017,chickpea,1.422457916974146
South Australia,Yorke Peninsula,Wakefield,2017,lentil,1.5377484951094094
South Australia,Yorke Peninsula,Wakefield,2018,faba_bean,2.065980598862234
South Australia,Yorke Peninsula,Wakefield,2018,chickpea,1.9932167206739702
South Australia,Yorke Peninsula,Wakefield,2018,lentil,1.7935596909393108
South Australia,Yorke Peninsula,Wakefield,2019,faba_bean,2.2304133985396875
South Australia,Yorke Peninsula,Wakefield,2019,chickpea,1.5884223517668905
South Australia,Yorke Peninsula,Wakefield,2019,lentil,1.9821997343130993
South Australia,Yorke Peninsula,Wakefield,2020,faba_bean,2.1482790586810316
South Australia,Yorke Peninsula,Wakefield,2020,chickpea,1.5151062904569186
South Australia,Yorke Peninsula,Wakefield,2020,lentil,1.702960126898868
South Australia,Yorke Peninsula,Wakefield,2021,faba_bean,2.191871784026718
South Australia,Yorke Peninsula,Wakefield,2021,chickpea,1.647760837809741
South Australia,Yorke Peninsula,Wakefield,2021,lentil,1.7992568890797813
South Australia,Yorke Peninsula,Wakefield,2022,faba_bean,1.9297796363073867
South Australia,Yorke Peninsula,Wakefield,2022,chickpea,1.4124593957645606
South Australia,Yorke Peninsula,Wakefield,2022,lentil,1.591306873159652
South Australia,Yorke Peninsula,Wakefield,2023,faba_bean,2.7211162191322003
South Australia,Yorke Peninsula,Wakefield,2023,chickpea,1.7480409802795478
South Australia,Yorke Peninsula,Wakefield,2023,lentil,2.1635125594614473
South Australia,Yorke Peninsula,Wakefield,2024,faba_bean,2.380452846613081
South Australia,Yorke Peninsula,Wakefield,2024,chickpea,1.5193824813882593
South Australia,Yorke Peninsula,Wakefield,2024,lentil,1.8049636694214575
South Australia,Yorke Peninsula,Wakefield,2025,faba_bean,1.9946146545607832
South Australia,Yorke Peninsula,Wakefield,2025,chickpea,1.9000556647778166
South Australia,Yorke Peninsula,Wakefield,2025,lentil,1.644981579259589
South Australia,Yorke Peninsula,Wallaroo,2016,faba_bean,2.066393352782801
South Australia,Yorke Peninsula,Wallaroo,2016,chickpea,1.4359556053918523
South Australia,Yorke Peninsula,Wallaroo,2016,lentil,1.7377452597966228
South Australia,Yorke Peninsula,Wallaroo,2017,faba_bean,2.1491022484947004
South Australia,Yorke Peninsula,Wallaroo,2017,chickpea,1.2787914303857653
South Australia,Yorke Peninsula,Wallaroo,2017,lentil,1.840569451082224
South Australia,Yorke Peninsula,Wallaroo,2018,faba_bean,2.3065775198156073
South Australia,Yorke Peninsula,Wallaroo,2018,chickpea,1.699944498597815
South Australia,Yorke Peninsula,Wallaroo,2018,lentil,1.9473953916480709
South Australia,Yorke Peninsula,Wallaroo,2019,faba_bean,2.3201212394653306
South Australia,Yorke Peninsula,Wallaroo,2019,chickpea,1.4709567381384887
